masked_word,wrong_letters,target_word,category
_L_PH_N_,S,ELEPHANT,animals
_L_P_A__,QSYZ,ELEPHANT,animals
E_EP___T,W,ELEPHANT,animals
E_EPH_N_,UWX,ELEPHANT,animals
___PHA_T,CWZ,ELEPHANT,animals
___AFF_,NV,GIRAFFE,animals
GI_____,PV,GIRAFFE,animals
G__A__E,BHYZ,GIRAFFE,animals
__R_FF_,L,GIRAFFE,animals
____FF_,HU,GIRAFFE,animals
_EN__IN,W,PENGUIN,animals
P_N___N,JL,PENGUIN,animals
PEN___N,QY,PENGUIN,animals
P___U__,A,PENGUIN,animals
_E_____,W,PENGUIN,animals
D_L____,QR,DOLPHIN,animals
_O_P___,MQU,DOLPHIN,animals
___P___,R,DOLPHIN,animals
_O_____,FKXY,DOLPHIN,animals
______N,UX,DOLPHIN,animals
________Y,GHZ,BUTTERFLY,animals
__TTE___Y,J,BUTTERFLY,animals
_U_____LY,DJMV,BUTTERFLY,animals
_______L_,GN,BUTTERFLY,animals
B_______Y,DS,BUTTERFLY,animals
__NG__OO,CF,KANGAROO,animals
_____ROO,DL,KANGAROO,animals
_A__AROO,DLPT,KANGAROO,animals
KAN_AR__,H,KANGAROO,animals
_AN_AR__,HI,KANGAROO,animals
O__OP_S,ELNW,OCTOPUS,animals
O__O__S,I,OCTOPUS,animals
____P__,M,OCTOPUS,animals
O_TO___,H,OCTOPUS,animals
_C___US,D,OCTOPUS,animals
_HI___E___,QX,RHINOCEROS,animals
RHI_O_ERO_,GQY,RHINOCEROS,animals
R_I_OC_ROS,BK,RHINOCEROS,animals
_H________,UX,RHINOCEROS,animals
_____C____,BLV,RHINOCEROS,animals
____R_L__,BFNV,AUSTRALIA,countries
__S___L__,CHN,AUSTRALIA,countries
A____A__A,C,AUSTRALIA,countries
AU__RA__A,B,AUSTRALIA,countries
A____A__A,EJX,AUSTRALIA,countries
__N___,BJ,CANADA,countries
CANA_A,JPTW,CANADA,countries
_ANA_A,BTU,CANADA,countries
_A_A_A,FP,CANADA,countries
CANA_A,K,CANADA,countries
__AZI_,DQ,BRAZIL,countries
___Z__,D,BRAZIL,countries
BR____,E,BRAZIL,countries
_R___L,FK,BRAZIL,countries
_R____,HSVX,BRAZIL,countries
F___C_,LW,FRANCE,countries
_RA___,BD,FRANCE,countries
___N__,I,FRANCE,countries
F_____,GLPS,FRANCE,countries
F_____,BHOW,FRANCE,countries
_A_A_,FX,JAPAN,countries
____N,GHSW,JAPAN,countries
__P_N,BR,JAPAN,countries
_A_AN,WX,JAPAN,countries
_A_A_,EF,JAPAN,countries
____A_Y,QZ,GERMANY,countries
GE_____,CDV,GERMANY,countries
___MA__,JKPV,GERMANY,countries
__R____,Q,GERMANY,countries
G_____Y,FJOX,GERMANY,countries
_T__Y,FVWZ,ITALY,countries
__A__,HMPU,ITALY,countries
IT___,NW,ITALY,countries
I____,F,ITALY,countries
IT___,DGX,ITALY,countries
M_X_C_,SZ,MEXICO,countries
M_XI__,HSVZ,MEXICO,countries
ME__C_,DTU,MEXICO,countries
M_____,JWY,MEXICO,countries
_____O,BKR,MEXICO,countries
_INE___LE,DQR,PINEAPPLE,fruits
P__EAPP_E,ORXY,PINEAPPLE,fruits
P___APP__,R,PINEAPPLE,fruits
P__E_PP_E,KU,PINEAPPLE,fruits
P____PPL_,CM,PINEAPPLE,fruits
S_R_WB_RR_,DN,STRAWBERRY,fruits
__R____RR_,CN,STRAWBERRY,fruits
__RA__ERR_,L,STRAWBERRY,fruits
___A______,VX,STRAWBERRY,fruits
S_________,IP,STRAWBERRY,fruits
_A_ER_E_O_,CHP,WATERMELON,fruits
W__E__E___,DGSY,WATERMELON,fruits
___ERMEL_N,I,WATERMELON,fruits
___E__ELON,DJS,WATERMELON,fruits
W_TE_MEL__,KX,WATERMELON,fruits
__N_N_,M,BANANA,fruits
_A_A_A,FHI,BANANA,fruits
_ANANA,HOTY,BANANA,fruits
_ANANA,CESU,BANANA,fruits
_A_A_A,CDLX,BANANA,fruits
____GE,Y,ORANGE,fruits
_R____,FP,ORANGE,fruits
OR____,BHPZ,ORANGE,fruits
_RAN__,CIS,ORANGE,fruits
_RAN__,CDJZ,ORANGE,fruits
__A__,Z,GRAPE,fruits
GR___,BDUX,GRAPE,fruits
__A__,DQ,GRAPE,fruits
G___E,C,GRAPE,fruits
__A__,HL,GRAPE,fruits
C__RR_,MQX,CHERRY,fruits
C_ERR_,ABZ,CHERRY,fruits
C_____,BL,CHERRY,fruits
___RR_,DIJL,CHERRY,fruits
CH___Y,WZ,CHERRY,fruits
___G_,CFU,MANGO,fruits
_AN__,IPW,MANGO,fruits
___G_,IJT,MANGO,fruits
_A_G_,W,MANGO,fruits
_A_G_,H,MANGO,fruits
_____TER,V,COMPUTER,technology
_O____E_,D,COMPUTER,technology
______E_,FIS,COMPUTER,technology
_O_P_T__,A,COMPUTER,technology
___P_TER,G,COMPUTER,technology
SM_R______,J,SMARTPHONE,technology
SM___PHO__,FGI,SMARTPHONE,technology
_M___PHO_E,Q,SMARTPHONE,technology
_____P____,K,SMARTPHONE,technology
SM________,GLW,SMARTPHONE,technology
INT_RN_T,JSY,INTERNET,technology
I_______,BVZ,INTERNET,technology
_NTERNET,L,INTERNET,technology
__T____T,DKLZ,INTERNET,technology
INTE_NET,QW,INTERNET,technology
_____A_E,Z,SOFTWARE,technology
__F_____,LY,SOFTWARE,technology
___T_A__,K,SOFTWARE,technology
_O___A_E,DP,SOFTWARE,technology
_OFT___E,BHPY,SOFTWARE,technology
DA_ABA__,P,DATABASE,technology
_A_ABAS_,HLRV,DATABASE,technology
_A_A_ASE,CKLR,DATABASE,technology
_A_A_A__,O,DATABASE,technology
_______E,MXYZ,DATABASE,technology
_L___IT__,BSUW,ALGORITHM,technology
__GO__T_M,JWY,ALGORITHM,technology
___O_____,EKPQ,ALGORITHM,technology
______T__,D,ALGORITHM,technology
____R__H_,CDS,ALGORITHM,technology
_____A_____,CDZ,PROGRAMMING,technology
___G_A___NG,F,PROGRAMMING,technology
PR__RAMM___,C,PROGRAMMING,technology
_R_GR___I_G,CDKW,PROGRAMMING,technology
PRO_R______,BFKW,PROGRAMMING,technology
A__I_ICIA_,GOY,ARTIFICIAL,technology
_________L,PV,ARTIFICIAL,technology
AR__F_C_A_,W,ARTIFICIAL,technology
______C__L,N,ARTIFICIAL,technology
ARTI_I_IAL,V,ARTIFICIAL,technology
_ASK_T_ALL,J,BASKETBALL,sports
B_S__TB___,HPVW,BASKETBALL,sports
BA____BA__,MQUY,BASKETBALL,sports
B___E_B___,V,BASKETBALL,sports
________LL,VZ,BASKETBALL,sports
_OO___LL,EZ,FOOTBALL,sports
_OO_____,N,FOOTBALL,sports
_OOT____,MQSX,FOOTBALL,sports
_OOTBA__,CGY,FOOTBALL,sports
F___B_LL,HN,FOOTBALL,sports
TENN__,PXZ,TENNIS,sports
__NN_S,BFHJ,TENNIS,sports
__NNIS,F,TENNIS,sports
_ENN_S,ACJV,TENNIS,sports
__NN_S,BMXZ,TENNIS,sports
__IMMI_G,EPT,SWIMMING,sports
_WI__I__,AKRZ,SWIMMING,sports
S__MM_N_,KQU,SWIMMING,sports
_WIMMI__,FJ,SWIMMING,sports
__IMMI__,V,SWIMMING,sports
C_C____,FJQU,CYCLING,sports
_Y___N_,FHMQ,CYCLING,sports
C_C____,JSUV,CYCLING,sports
___LI_G,OV,CYCLING,sports
_____N_,VZ,CYCLING,sports
V_LLE_B_LL,HJW,VOLLEYBALL,sports
__LL_Y__LL,PQ,VOLLEYBALL,sports
____E_____,CDIU,VOLLEYBALL,sports
_O___Y_A__,U,VOLLEYBALL,sports
_OLL__BALL,R,VOLLEYBALL,sports
BA_EBALL,OZ,BASEBALL,sports
BA_EBALL,WY,BASEBALL,sports
______LL,OPUW,BASEBALL,sports
_A___A__,DMWY,BASEBALL,sports
___E____,CMTW,BASEBALL,sports
____E_,B,HOCKEY,sports
H_C__Y,W,HOCKEY,sports
HO_K__,NPVZ,HOCKEY,sports
HOC___,M,HOCKEY,sports
HOC___,Q,HOCKEY,sports
A_VE___RE,CKZ,ADVENTURE,movies
__V______,KZ,ADVENTURE,movies
__V______,O,ADVENTURE,movies
___E__U_E,BGH,ADVENTURE,movies
AD_E_T__E,HS,ADVENTURE,movies
COM___,PSZ,COMEDY,movies
__ME__,N,COMEDY,movies
____DY,K,COMEDY,movies
C_____,GIK,COMEDY,movies
__M__Y,AFLQ,COMEDY,movies
THR_LL_R,BDNP,THRILLER,movies
T_RI___R,UXY,THRILLER,movies
T__ILL__,MS,THRILLER,movies
___ILL__,ACPU,THRILLER,movies
T___LL__,JY,THRILLER,movies
__M___E,GU,ROMANCE,movies
_OMA___,DLS,ROMANCE,movies
R______,P,ROMANCE,movies
R______,Z,ROMANCE,movies
____NCE,V,ROMANCE,movies
M__T___,BQ,MYSTERY,movies
MY___RY,HILV,MYSTERY,movies
M_ST___,DX,MYSTERY,movies
MY_T__Y,PWZ,MYSTERY,movies
_____R_,BHNX,MYSTERY,movies
FA__A_Y,GLW,FANTASY,movies
__N___Y,BGQV,FANTASY,movies
_A__A__,C,FANTASY,movies
_A_TA_Y,EQR,FANTASY,movies
F____S_,R,FANTASY,movies
__CUM_N__R_,HX,DOCUMENTARY,movies
__C________,V,DOCUMENTARY,movies
__CU_EN__R_,JSWX,DOCUMENTARY,movies
__C________,BJW,DOCUMENTARY,movies
_O_U_EN_A__,BGH,DOCUMENTARY,movies
A_I_ATI__,FJ,ANIMATION,movies
_NI___I_N,BL,ANIMATION,movies
_N_____ON,JXY,ANIMATION,movies
_NI___I_N,HLU,ANIMATION,movies
A___A____,HJWZ,ANIMATION,movies
