masked_word,target_word
ELEPH_N_,ELEPHANT
ELEPH__T,ELEPHANT
ELEP_A_T,ELEPHANT
GIR_F_E,GIRAFFE
G_RAFF_,GIRAFFE
_IRA_FE,GIRAFFE
_ENG_IN,PENGUIN
_ENG_IN,PENGUIN
PE_G_IN,PENGUIN
_OL__IN,DOLPHIN
DOL___N,DOLPHIN
DO___IN,DOLPHIN
B_TTER_LY,BUTTERFLY
_U_TERFLY,BUTTERFLY
BU__ERFLY,BUTTERFLY
K_NGARO_,KANGAROO
_A_G_R_O,KANGAROO
_AN_A_OO,KANGAROO
O_TOP_S,OCTOPUS
OCTO_U_,OCTOPUS
__T_PUS,OCTOPUS
R__NO_ER__,RHINOCEROS
_HIN_CE_O_,RHINOCEROS
_HIN__ER__,RHINOCEROS
A_ST_A__A,AUSTRALIA
A_S_RA__A,AUSTRALIA
__ST_ALIA,AUSTRALIA
_ANAD_,CANADA
CANA__,CANADA
_AN_D_,CANADA
__A_IL,BRAZIL
B__ZI_,BRAZIL
BR_Z_L,BRAZIL
__ANCE,FRANCE
FR_NC_,FRANCE
FRA__E,FRANCE
J_PA_,JAPAN
JA__N,JAPAN
J_PA_,JAPAN
GE_M_N_,GERMANY
GER_A__,GERMANY
GE_M_NY,GERMANY
_TAL_,ITALY
I_AL_,ITALY
_TAL_,ITALY
ME_I__,MEXICO
M__IC_,MEXICO
M_X_C_,MEXICO
PI_E_PPLE,PINEAPPLE
PI_E_PPLE,PINEAPPLE
__N_AP_LE,PINEAPPLE
ST_A_BERRY,STRAWBERRY
__RAWBER_Y,STRAWBERRY
STRA_B_R__,STRAWBERRY
__TE_M_LO_,WATERMELON
WA__RM_L__,WATERMELON
_A_ER_EL_N,WATERMELON
BANA__,BANANA
_ANA_A,BANANA
_A_A_A,BANANA
OR_N_E,ORANGE
ORA___,ORANGE
O_A__E,ORANGE
GR__E,GRAPE
__APE,GRAPE
G_A_E,GRAPE
__ERR_,CHERRY
_HER_Y,CHERRY
_HE_R_,CHERRY
MAN__,MANGO
_AN_O,MANGO
MA__O,MANGO
_OMP_TE_,COMPUTER
_OMPU_ER,COMPUTER
CO__UT_R,COMPUTER
_MAR_PHON_,SMARTPHONE
__AR_PHO__,SMARTPHONE
SMAR_PH_NE,SMARTPHONE
_NTE_N_T,INTERNET
_N_ERNE_,INTERNET
_N_ERNET,INTERNET
_OFTW_RE,SOFTWARE
S_F_WA_E,SOFTWARE
SO_TW_RE,SOFTWARE
D_TA_ASE,DATABASE
DAT_B_SE,DATABASE
DA_ABA_E,DATABASE
A_GORI__M,ALGORITHM
A_GO_ITHM,ALGORITHM
AL___I_HM,ALGORITHM
PROGR__M_NG,PROGRAMMING
PR___AM_IN_,PROGRAMMING
_ROGRAM_ING,PROGRAMMING
AR_IF_C_A_,ARTIFICIAL
_R___ICIA_,ARTIFICIAL
ART__ICIAL,ARTIFICIAL
B_SKET__L_,BASKETBALL
BASKE_B_LL,BASKETBALL
__SKE__ALL,BASKETBALL
F_OT_AL_,FOOTBALL
FO____LL,FOOTBALL
FO_T__L_,FOOTBALL
TE__IS,TENNIS
T__NI_,TENNIS
TEN__S,TENNIS
_WI__I_G,SWIMMING
SWI__I__,SWIMMING
S_IM_ING,SWIMMING
CY__ING,CYCLING
C_CLIN_,CYCLING
C_C_ING,CYCLING
V_LLE__ALL,VOLLEYBALL
V_LL_YBA__,VOLLEYBALL
VOL____AL_,VOLLEYBALL
_ASEB_LL,BASEBALL
BAS__ALL,BASEBALL
_ASEB_LL,BASEBALL
_OC__Y,HOCKEY
HO__EY,HOCKEY
H_CK_Y,HOCKEY
_D_ENTURE,ADVENTURE
ADVE___R_,ADVENTURE
A__E_TURE,ADVENTURE
C_MED_,COMEDY
C_MED_,COMEDY
CO___Y,COMEDY
_HRILLE_,THRILLER
TH_IL__R,THRILLER
_H__LLE_,THRILLER
RO__NC_,ROMANCE
_OMAN_E,ROMANCE
_OMA_CE,ROMANCE
MYST___,MYSTERY
M_ST_RY,MYSTERY
MY__E_Y,MYSTERY
___TASY,FANTASY
FA__AS_,FANTASY
_ANT_S_,FANTASY
DOCUME_TAR_,DOCUMENTARY
_OC__ENTAR_,DOCUMENTARY
DOCUMEN_AR_,DOCUMENTARY
__IM_TION,ANIMATION
A_IMAT__N,ANIMATION
ANIMA__O_,ANIMATION
